age,marital,education,default,housing,loan,contact,duration,campaign,previous,poutcome,subscription
26,married,primary,no,yes,no,unknown,425,1,0,unknown,0
32,single,primary,yes,yes,yes,cellular,204,1,0,unknown,0
61,married,unknown,no,yes,no,cellular,181,1,1,success,1
45,divorced,primary,no,no,no,unknown,1018,3,0,unknown,1
37,single,secondary,no,yes,no,cellular,1740,2,0,unknown,0
38,single,secondary,no,no,no,cellular,98,2,0,unknown,0
34,married,tertiary,no,yes,no,cellular,441,1,1,other,1
53,married,secondary,no,yes,no,cellular,272,3,0,unknown,0
48,married,secondary,no,yes,no,telephone,159,2,0,unknown,0
57,married,secondary,no,no,yes,telephone,140,1,0,unknown,0
33,single,tertiary,no,no,no,cellular,295,1,0,unknown,0
36,single,secondary,no,yes,yes,unknown,314,1,0,unknown,0
54,divorced,secondary,no,yes,yes,unknown,579,1,0,unknown,0
41,married,primary,no,no,yes,telephone,554,3,0,unknown,0
63,married,secondary,no,yes,no,cellular,323,1,0,unknown,0
48,married,tertiary,no,no,no,cellular,227,2,0,unknown,0
48,married,secondary,no,no,no,cellular,134,2,0,unknown,0
56,married,secondary,no,no,no,cellular,223,1,0,unknown,0
51,divorced,secondary,no,yes,no,cellular,134,1,5,failure,0
31,married,secondary,no,yes,no,cellular,155,1,0,unknown,0
29,married,secondary,no,yes,no,cellular,130,4,0,unknown,0
41,married,secondary,no,no,yes,cellular,630,3,0,unknown,0
32,single,tertiary,no,no,no,cellular,164,2,0,unknown,0
37,married,tertiary,no,no,no,cellular,268,2,3,success,1
42,divorced,tertiary,yes,yes,no,unknown,380,1,0,unknown,0
31,single,tertiary,no,yes,no,unknown,154,2,0,unknown,0
41,married,tertiary,no,yes,no,unknown,154,5,0,unknown,0
56,married,secondary,no,yes,no,unknown,221,1,0,unknown,0
54,divorced,tertiary,no,no,no,cellular,67,2,0,unknown,0
41,divorced,secondary,no,yes,no,cellular,367,2,1,other,0
40,single,secondary,no,no,yes,cellular,87,6,0,unknown,0
50,divorced,primary,no,no,no,cellular,701,1,0,unknown,0
40,married,secondary,no,yes,no,cellular,204,2,1,failure,0
27,divorced,secondary,no,yes,no,cellular,652,1,0,unknown,1
60,married,primary,no,no,no,cellular,63,2,0,unknown,0
28,single,secondary,no,yes,yes,cellular,150,1,0,unknown,0
52,married,secondary,no,no,no,telephone,398,2,2,failure,1
37,married,tertiary,no,no,no,cellular,224,1,0,unknown,1
51,married,primary,no,yes,no,unknown,406,2,0,unknown,0
41,single,secondary,no,no,yes,cellular,60,4,0,unknown,0
35,single,primary,no,yes,no,unknown,521,2,0,unknown,0
38,married,secondary,no,yes,no,cellular,279,1,0,unknown,0
34,married,secondary,no,yes,no,unknown,203,2,0,unknown,0
39,married,primary,no,no,no,cellular,201,2,0,unknown,0
34,married,primary,no,yes,no,unknown,372,3,0,unknown,0
27,single,secondary,no,yes,no,cellular,391,1,0,unknown,1
32,single,tertiary,no,no,no,cellular,165,2,0,unknown,0
57,married,secondary,no,no,no,cellular,231,5,0,unknown,0
41,single,tertiary,no,no,no,cellular,291,2,0,unknown,0
41,married,tertiary,no,yes,no,unknown,149,2,0,unknown,0
30,single,tertiary,no,no,no,cellular,233,1,20,failure,0
36,divorced,secondary,no,no,no,cellular,473,1,1,success,0
31,single,primary,no,no,no,cellular,736,1,0,unknown,1
36,married,secondary,no,yes,no,unknown,337,1,0,unknown,0
38,single,tertiary,no,yes,no,cellular,553,1,7,failure,0
49,married,secondary,no,no,no,telephone,345,2,0,unknown,0
57,single,primary,no,yes,no,telephone,65,2,0,unknown,0
34,single,secondary,no,no,no,unknown,9,1,0,unknown,0
32,single,tertiary,no,yes,no,cellular,259,2,3,failure,0
37,married,secondary,no,yes,yes,unknown,371,3,0,unknown,0
33,married,tertiary,no,yes,no,cellular,280,2,0,unknown,0
56,married,primary,no,no,no,cellular,243,1,0,unknown,1
27,married,primary,no,yes,no,cellular,435,3,0,unknown,0
21,single,secondary,no,no,no,cellular,258,6,3,success,1
58,married,tertiary,no,yes,no,telephone,7,5,0,unknown,0
32,married,secondary,no,yes,yes,cellular,317,5,0,unknown,0
33,single,secondary,no,no,no,cellular,76,2,1,failure,0
25,single,secondary,no,no,no,telephone,170,4,0,unknown,1
25,single,secondary,no,no,yes,cellular,386,2,0,unknown,1
30,married,secondary,no,yes,no,cellular,83,2,0,unknown,0
22,single,secondary,no,no,yes,cellular,65,1,0,unknown,0
39,married,primary,no,no,no,cellular,69,1,0,unknown,0
46,divorced,tertiary,no,no,no,unknown,564,2,0,unknown,0
31,divorced,secondary,no,yes,no,cellular,588,1,0,unknown,0
45,married,primary,no,no,no,cellular,113,4,0,unknown,0
32,married,secondary,no,yes,no,unknown,16,1,0,unknown,0
36,married,secondary,no,no,yes,cellular,779,2,0,unknown,0
51,single,tertiary,yes,yes,no,cellular,281,2,6,failure,0
34,single,tertiary,no,no,no,cellular,1877,3,0,unknown,1
24,single,secondary,no,no,no,unknown,51,1,0,unknown,0
45,single,secondary,no,no,yes,cellular,32,3,0,unknown,0
32,single,secondary,no,no,no,telephone,176,1,3,failure,0
77,divorced,tertiary,no,no,no,cellular,161,1,0,unknown,1
41,married,primary,no,yes,no,cellular,187,3,0,unknown,0
37,married,primary,no,yes,no,unknown,24,1,0,unknown,0
43,married,unknown,yes,yes,no,unknown,67,3,0,unknown,0
48,married,unknown,no,yes,no,cellular,85,1,2,failure,0
27,single,secondary,no,yes,no,unknown,317,2,0,unknown,0
33,single,tertiary,no,no,no,cellular,236,10,0,unknown,0
29,single,secondary,no,yes,yes,cellular,54,1,2,failure,0
34,single,tertiary,no,no,no,cellular,71,1,0,unknown,0
52,married,tertiary,no,yes,no,cellular,489,1,0,unknown,1
60,married,unknown,no,no,no,unknown,39,2,0,unknown,0
32,divorced,tertiary,no,no,no,cellular,204,2,0,unknown,0
32,single,tertiary,no,yes,no,cellular,455,2,0,unknown,0
56,divorced,unknown,no,yes,no,unknown,86,1,0,unknown,0
31,single,tertiary,no,yes,no,cellular,190,2,0,unknown,0
42,married,secondary,no,yes,yes,unknown,280,2,0,unknown,0
35,married,tertiary,no,no,yes,cellular,588,2,0,unknown,0
56,married,primary,no,no,yes,unknown,45,9,0,unknown,0
48,married,secondary,no,yes,no,cellular,168,5,0,unknown,0
46,married,secondary,no,yes,no,cellular,194,4,1,other,0
37,single,unknown,no,yes,no,unknown,103,3,0,unknown,0
41,married,unknown,no,yes,no,unknown,333,2,0,unknown,0
36,single,tertiary,no,yes,yes,cellular,102,3,0,unknown,0
45,divorced,primary,yes,yes,yes,unknown,92,1,0,unknown,0
55,married,secondary,no,no,no,cellular,213,2,0,unknown,0
39,married,secondary,no,no,no,unknown,289,1,0,unknown,0
35,divorced,secondary,no,no,no,cellular,77,2,0,unknown,0
55,married,secondary,no,no,no,cellular,324,3,2,success,1
55,married,secondary,no,yes,no,cellular,84,3,3,failure,0
27,single,secondary,no,no,no,cellular,168,1,0,unknown,0
34,married,secondary,no,yes,no,cellular,380,1,0,unknown,0
34,married,tertiary,no,no,no,unknown,10,1,0,unknown,0
25,single,secondary,no,yes,no,unknown,199,2,0,unknown,0
41,single,secondary,no,no,yes,unknown,35,3,0,unknown,0
43,married,secondary,no,yes,yes,unknown,82,2,0,unknown,0
28,single,tertiary,no,no,no,cellular,676,2,2,failure,1
31,single,secondary,no,yes,no,unknown,455,1,0,unknown,0
78,married,secondary,no,no,no,telephone,80,4,0,unknown,0
45,divorced,secondary,no,yes,no,cellular,549,2,0,unknown,0
48,married,tertiary,no,no,no,unknown,135,1,0,unknown,0
32,single,secondary,no,yes,yes,cellular,412,1,0,unknown,0
42,married,secondary,no,no,no,unknown,101,3,0,unknown,0
37,single,tertiary,no,no,no,cellular,253,2,0,unknown,0
40,single,secondary,no,yes,yes,cellular,272,1,4,other,0
32,married,secondary,no,yes,no,cellular,84,1,0,unknown,0
42,married,tertiary,no,no,no,cellular,135,2,0,unknown,0
43,married,secondary,no,yes,yes,cellular,166,1,0,unknown,0
44,married,secondary,no,yes,yes,cellular,18,7,0,unknown,0
37,married,secondary,no,yes,no,cellular,147,2,1,failure,0
37,married,unknown,no,no,no,unknown,63,1,0,unknown,0
37,married,tertiary,no,yes,no,cellular,65,2,1,failure,0
28,single,tertiary,no,yes,yes,cellular,194,2,0,unknown,0
32,single,secondary,no,no,yes,cellular,333,2,0,unknown,0
34,single,secondary,no,yes,no,cellular,14,5,0,unknown,0
40,divorced,secondary,no,no,no,unknown,140,1,0,unknown,0
34,married,secondary,no,yes,no,unknown,109,3,0,unknown,0
34,married,tertiary,no,yes,no,cellular,61,2,0,unknown,0
34,married,tertiary,no,yes,no,telephone,377,3,4,success,0
37,single,secondary,no,yes,no,cellular,96,1,2,other,0
36,married,secondary,no,yes,no,cellular,152,2,1,failure,0
56,married,secondary,no,yes,no,cellular,382,2,0,unknown,1
49,married,primary,no,yes,yes,telephone,97,6,0,unknown,0
33,married,secondary,no,yes,no,cellular,543,12,0,unknown,0
30,single,tertiary,no,no,no,cellular,240,2,0,unknown,0
36,married,secondary,no,no,no,unknown,48,2,0,unknown,0
23,single,secondary,no,no,no,cellular,471,2,0,unknown,0
57,divorced,secondary,no,yes,no,cellular,354,3,0,unknown,0
27,single,secondary,no,yes,no,unknown,435,2,0,unknown,0
38,married,secondary,no,no,yes,cellular,152,2,0,unknown,0
42,married,tertiary,no,no,no,cellular,285,1,0,unknown,0
75,married,secondary,no,no,no,telephone,185,1,2,success,1
34,single,tertiary,no,yes,no,cellular,301,1,2,success,0
48,married,secondary,no,no,no,cellular,273,2,0,unknown,0
35,single,tertiary,no,yes,no,cellular,768,2,3,failure,1
39,divorced,tertiary,no,yes,no,cellular,1337,4,1,failure,0
29,single,tertiary,no,no,no,telephone,403,1,0,unknown,1
45,single,tertiary,no,yes,no,cellular,139,2,0,unknown,0
42,married,secondary,no,yes,yes,cellular,196,1,0,unknown,0
29,married,secondary,no,yes,no,cellular,115,1,1,failure,0
38,single,secondary,no,yes,no,cellular,60,1,1,failure,0
56,married,secondary,no,no,no,cellular,17,14,0,unknown,0
36,single,secondary,no,yes,no,cellular,141,3,0,unknown,0
25,single,secondary,no,yes,no,unknown,95,3,0,unknown,0
38,married,tertiary,no,yes,no,cellular,10,2,1,other,0
57,married,secondary,no,no,no,cellular,198,1,0,unknown,0
31,married,tertiary,yes,no,no,cellular,220,4,0,unknown,0
42,married,tertiary,no,yes,no,cellular,654,2,0,unknown,1
45,married,secondary,no,no,no,cellular,71,2,0,unknown,0
30,married,secondary,no,yes,no,cellular,256,2,2,failure,0
49,married,primary,no,yes,yes,telephone,834,10,0,unknown,0
49,married,secondary,no,no,no,cellular,151,3,0,unknown,0
53,married,tertiary,no,yes,no,cellular,20,3,0,unknown,0
37,married,secondary,no,yes,no,unknown,178,5,0,unknown,0
49,married,primary,no,no,no,unknown,59,2,0,unknown,0
41,married,primary,no,no,no,cellular,111,7,0,unknown,0
54,married,primary,no,yes,no,cellular,186,1,0,unknown,0
32,single,secondary,no,yes,no,unknown,227,1,0,unknown,0
33,married,secondary,no,no,no,cellular,297,3,0,unknown,0
33,married,secondary,no,yes,no,cellular,210,1,1,other,0
36,married,primary,no,yes,no,cellular,9,1,0,unknown,0
35,married,tertiary,no,yes,yes,cellular,112,1,6,other,0
52,married,secondary,no,no,no,cellular,112,6,0,unknown,0
40,married,tertiary,no,no,no,unknown,222,3,0,unknown,0
44,single,secondary,no,yes,no,cellular,195,3,10,failure,0
45,single,secondary,no,yes,no,cellular,768,2,5,success,0
30,single,secondary,no,no,no,cellular,123,1,0,unknown,0
48,divorced,secondary,yes,no,no,cellular,145,3,0,unknown,0
33,married,secondary,no,yes,no,cellular,124,1,2,other,0
57,married,unknown,no,yes,no,unknown,216,3,0,unknown,0
57,married,primary,no,no,no,unknown,69,3,0,unknown,0
51,married,tertiary,no,yes,no,cellular,168,4,0,unknown,0
34,single,secondary,no,yes,no,cellular,483,7,0,unknown,0
50,married,tertiary,no,no,no,cellular,690,3,0,unknown,0
44,married,tertiary,no,no,no,cellular,125,12,0,unknown,0
27,married,secondary,no,yes,yes,unknown,344,2,0,unknown,0
50,married,secondary,no,yes,no,unknown,673,2,0,unknown,0
36,married,tertiary,no,yes,no,cellular,60,1,1,other,0
42,married,secondary,no,yes,no,unknown,247,2,0,unknown,0
32,single,secondary,no,no,no,cellular,123,2,0,unknown,0
42,married,tertiary,no,yes,no,cellular,144,2,0,unknown,0
43,married,secondary,no,no,yes,cellular,9,2,5,failure,0
31,married,tertiary,no,yes,no,cellular,155,3,0,unknown,0
32,married,tertiary,no,no,no,cellular,134,5,0,unknown,0
55,divorced,primary,no,no,yes,cellular,221,2,0,unknown,0
58,married,primary,no,yes,no,cellular,84,3,2,failure,0
46,married,primary,no,no,no,cellular,71,2,0,unknown,0
55,married,secondary,no,yes,yes,unknown,246,4,0,unknown,0
34,married,tertiary,no,no,yes,cellular,361,2,0,unknown,0
28,single,secondary,no,no,no,cellular,119,4,0,unknown,0
42,divorced,tertiary,no,yes,no,cellular,375,2,0,unknown,0
29,single,secondary,no,no,yes,cellular,1097,3,0,unknown,1
54,married,secondary,no,yes,yes,cellular,97,1,0,unknown,0
32,single,secondary,no,no,no,cellular,181,2,0,unknown,0
39,single,tertiary,no,no,no,cellular,83,3,0,unknown,0
53,married,tertiary,no,no,yes,cellular,180,4,0,unknown,0
58,married,tertiary,no,no,no,cellular,543,1,2,failure,0
40,married,secondary,no,yes,yes,unknown,373,1,0,unknown,0
29,single,secondary,no,yes,no,unknown,230,1,0,unknown,0
33,married,tertiary,no,yes,yes,cellular,83,3,0,unknown,0
38,single,secondary,no,yes,no,telephone,58,13,0,unknown,0
56,divorced,secondary,no,no,no,cellular,88,6,0,unknown,0
40,married,secondary,no,yes,no,cellular,297,1,3,failure,0
24,single,secondary,no,yes,yes,cellular,487,1,0,unknown,1
46,married,secondary,no,no,no,unknown,29,3,0,unknown,0
35,married,secondary,no,yes,no,cellular,484,4,0,unknown,0
35,single,tertiary,no,yes,no,cellular,262,4,0,unknown,0
34,married,secondary,no,yes,no,unknown,644,1,0,unknown,0
35,married,tertiary,no,no,no,cellular,699,2,1,failure,0
38,single,tertiary,no,no,no,cellular,247,2,0,unknown,0
50,married,primary,no,no,no,cellular,49,3,0,unknown,0
51,divorced,primary,no,yes,no,cellular,341,1,0,unknown,0
59,married,tertiary,no,no,no,unknown,64,2,0,unknown,0
32,married,secondary,no,yes,no,cellular,121,1,0,unknown,0
37,single,secondary,no,yes,no,unknown,98,1,0,unknown,0
42,divorced,secondary,no,no,no,unknown,88,6,0,unknown,0
40,married,secondary,no,no,no,unknown,197,6,0,unknown,0
28,single,tertiary,no,yes,no,unknown,331,1,0,unknown,0
47,married,secondary,no,yes,no,unknown,83,3,0,unknown,0
27,married,secondary,no,yes,no,unknown,138,2,0,unknown,0
41,married,tertiary,no,yes,no,cellular,312,5,0,unknown,0
34,married,tertiary,no,no,yes,cellular,120,3,6,success,1
50,married,primary,no,yes,no,cellular,526,2,0,unknown,1
47,married,secondary,no,yes,no,unknown,211,2,0,unknown,0
53,married,secondary,no,no,no,cellular,62,6,0,unknown,0
53,divorced,secondary,no,yes,yes,cellular,135,5,0,unknown,0
47,married,tertiary,no,no,no,cellular,101,2,0,unknown,0
49,divorced,unknown,yes,yes,no,cellular,988,2,0,unknown,1
29,married,tertiary,no,no,no,cellular,451,1,0,unknown,0
45,divorced,primary,no,yes,no,unknown,1030,1,0,unknown,1
38,married,secondary,no,yes,yes,cellular,1484,24,0,unknown,1
32,married,secondary,no,yes,no,cellular,317,5,0,unknown,1
70,divorced,primary,no,no,no,cellular,445,1,0,unknown,0
65,divorced,primary,no,no,no,cellular,383,2,5,failure,0
56,married,secondary,no,yes,no,telephone,605,1,0,unknown,0
35,married,secondary,no,yes,no,cellular,330,2,0,unknown,0
56,married,unknown,no,no,yes,cellular,171,2,0,unknown,0
56,married,secondary,no,no,yes,cellular,442,2,0,unknown,0
49,married,secondary,no,yes,no,cellular,772,1,0,unknown,1
38,married,primary,no,yes,yes,unknown,249,5,0,unknown,0
35,married,tertiary,no,yes,no,unknown,357,1,0,unknown,0
38,married,tertiary,no,no,no,cellular,147,2,0,unknown,0
49,married,secondary,no,yes,yes,cellular,199,7,1,failure,0
55,married,unknown,no,no,no,cellular,271,2,0,unknown,0
43,single,primary,no,yes,no,cellular,783,3,0,unknown,0
43,married,tertiary,no,no,yes,cellular,472,2,0,unknown,0
25,single,tertiary,no,yes,no,cellular,223,3,2,failure,1
30,married,primary,no,yes,no,unknown,395,2,0,unknown,0
46,married,secondary,no,no,no,cellular,56,1,0,unknown,0
50,married,primary,no,no,yes,unknown,641,6,0,unknown,0
35,married,secondary,no,no,no,cellular,429,4,2,failure,1
26,single,secondary,no,no,no,unknown,113,1,0,unknown,0
45,married,unknown,no,no,no,unknown,11,11,0,unknown,0
37,married,secondary,no,no,no,cellular,157,1,0,unknown,0
60,single,tertiary,no,no,yes,cellular,79,4,0,unknown,0
38,married,tertiary,no,no,no,cellular,178,1,1,success,1
47,married,primary,no,yes,yes,unknown,168,1,0,unknown,0
33,married,secondary,no,no,no,cellular,425,1,1,failure,0
51,married,secondary,no,no,yes,cellular,162,1,0,unknown,0
35,single,tertiary,no,yes,no,cellular,799,2,0,unknown,1
35,married,secondary,no,no,no,cellular,1370,3,3,success,1
48,single,secondary,no,yes,no,unknown,357,1,0,unknown,0
37,married,secondary,no,no,no,cellular,22,6,0,unknown,0
29,single,tertiary,no,yes,no,cellular,215,3,3,other,0
34,married,secondary,no,yes,no,cellular,56,4,0,unknown,0
32,married,primary,no,yes,no,cellular,1017,6,0,unknown,1
30,single,tertiary,no,no,no,cellular,298,4,0,unknown,1
47,divorced,tertiary,no,no,yes,unknown,126,1,0,unknown,0
33,married,primary,no,no,no,unknown,9,1,0,unknown,0
33,single,tertiary,no,yes,no,cellular,8,1,5,failure,0
63,married,primary,no,no,no,cellular,201,1,1,success,0
51,divorced,primary,no,no,no,cellular,106,2,0,unknown,0
41,married,tertiary,no,yes,yes,cellular,164,1,1,failure,0
56,married,tertiary,no,no,no,cellular,97,1,0,unknown,0
60,single,tertiary,no,no,yes,cellular,151,1,0,unknown,0
41,single,tertiary,no,yes,no,unknown,96,2,0,unknown,0
37,single,unknown,no,yes,no,cellular,555,1,0,unknown,0
36,single,secondary,no,yes,yes,cellular,270,2,1,failure,0
57,married,tertiary,no,no,no,cellular,339,3,0,unknown,0
55,married,primary,no,no,no,cellular,328,2,2,success,1
44,married,secondary,no,yes,yes,unknown,159,1,0,unknown,0
47,married,tertiary,no,yes,no,cellular,323,2,1,failure,0
31,married,secondary,no,yes,no,cellular,342,1,0,unknown,0
35,married,tertiary,yes,yes,no,cellular,180,1,0,unknown,0
39,married,tertiary,no,no,yes,cellular,60,3,0,unknown,0
50,married,tertiary,no,no,no,cellular,223,1,2,failure,0
29,married,tertiary,no,yes,no,cellular,1434,2,4,failure,0
30,single,secondary,no,yes,no,unknown,30,2,0,unknown,0
46,married,secondary,no,yes,no,unknown,134,4,0,unknown,0
27,single,unknown,no,no,no,cellular,10,2,0,unknown,0
48,divorced,secondary,no,no,no,cellular,397,2,0,unknown,1
26,single,secondary,no,yes,no,cellular,620,1,0,unknown,0
36,single,tertiary,no,no,no,cellular,6,6,0,unknown,0
42,married,primary,no,yes,yes,cellular,209,2,0,unknown,0
50,married,primary,no,yes,no,unknown,419,2,0,unknown,0
49,married,secondary,no,yes,no,cellular,283,2,0,unknown,0
45,married,tertiary,no,no,no,cellular,188,2,0,unknown,0
23,single,secondary,no,no,no,cellular,267,1,0,unknown,0
38,single,secondary,no,yes,no,cellular,196,2,0,unknown,0
32,single,tertiary,no,yes,no,cellular,245,1,2,failure,0
60,single,primary,no,no,no,cellular,323,1,0,unknown,1
30,married,secondary,no,yes,no,cellular,1065,1,1,other,0
58,married,tertiary,no,no,no,unknown,138,5,0,unknown,0
60,married,primary,no,no,no,cellular,207,1,0,unknown,0
38,married,secondary,no,no,no,unknown,456,3,0,unknown,0
51,married,secondary,no,yes,no,cellular,261,1,0,unknown,0
42,married,secondary,no,yes,no,cellular,80,1,4,failure,0
30,single,secondary,no,yes,no,cellular,131,6,9,failure,0
40,married,primary,no,yes,no,unknown,94,7,0,unknown,0
37,married,tertiary,no,yes,no,cellular,567,3,4,failure,1
53,divorced,primary,no,yes,no,unknown,153,1,0,unknown,0
27,single,secondary,no,yes,no,cellular,109,1,0,unknown,0
39,married,secondary,no,yes,no,cellular,53,1,1,failure,0
39,married,primary,no,yes,no,unknown,77,1,0,unknown,0
59,married,tertiary,no,no,no,telephone,234,2,0,unknown,1
37,married,secondary,no,yes,no,telephone,121,2,4,failure,0
41,married,primary,no,yes,no,cellular,155,2,0,unknown,0
45,married,primary,no,no,no,cellular,108,1,0,unknown,0
48,married,tertiary,no,no,no,unknown,159,3,0,unknown,0
48,married,secondary,no,yes,no,unknown,208,3,0,unknown,0
32,married,secondary,no,no,no,cellular,215,1,0,unknown,0
35,married,secondary,no,yes,no,unknown,597,3,0,unknown,0
33,single,tertiary,no,yes,no,cellular,505,2,1,other,0
28,single,primary,no,yes,yes,unknown,380,4,0,unknown,0
64,married,unknown,no,no,no,cellular,120,1,0,unknown,0
35,married,secondary,no,no,no,cellular,106,4,0,unknown,0
33,married,secondary,no,yes,no,cellular,332,2,2,failure,0
41,married,secondary,no,yes,no,unknown,221,4,0,unknown,0
34,married,secondary,no,yes,no,cellular,80,1,0,unknown,0
37,single,tertiary,no,no,no,cellular,60,5,1,success,0
38,married,primary,no,yes,yes,telephone,212,3,0,unknown,0
39,married,primary,no,yes,no,cellular,493,3,0,unknown,0
35,divorced,tertiary,no,yes,no,cellular,98,2,0,unknown,0
28,single,secondary,no,no,yes,cellular,681,1,0,unknown,1
27,single,secondary,no,no,no,cellular,203,1,0,unknown,0
48,married,primary,yes,no,yes,cellular,157,1,0,unknown,0
50,married,secondary,no,no,no,unknown,287,1,0,unknown,0
45,married,secondary,no,yes,no,cellular,159,2,0,unknown,0
41,married,tertiary,no,yes,no,unknown,125,1,0,unknown,0
39,married,secondary,no,no,no,cellular,202,2,0,unknown,0
44,married,secondary,no,yes,no,telephone,37,3,1,failure,0
54,married,secondary,no,no,no,cellular,161,1,2,failure,1
49,married,tertiary,no,no,no,cellular,72,4,0,unknown,0
34,single,secondary,no,no,no,cellular,342,1,0,unknown,0
75,divorced,tertiary,no,yes,no,cellular,262,1,1,failure,1
42,married,tertiary,no,no,no,cellular,325,2,0,unknown,0
53,married,secondary,no,no,no,telephone,223,7,0,unknown,0
49,divorced,tertiary,no,no,no,cellular,1212,4,0,unknown,1
31,single,secondary,no,no,no,cellular,319,2,0,unknown,0
45,single,primary,no,no,no,cellular,182,2,0,unknown,0
39,married,secondary,no,yes,yes,cellular,330,1,0,unknown,0
46,married,secondary,no,yes,yes,cellular,514,1,0,unknown,0
42,divorced,secondary,no,yes,no,unknown,213,1,0,unknown,0
37,married,tertiary,no,yes,no,cellular,551,1,1,failure,0
26,single,tertiary,no,yes,no,cellular,472,2,0,unknown,0
37,single,tertiary,no,yes,no,cellular,140,4,2,failure,0
36,single,secondary,no,yes,no,unknown,142,1,0,unknown,0
29,single,primary,no,yes,no,unknown,135,3,0,unknown,0
36,married,primary,no,yes,yes,unknown,293,1,0,unknown,0
26,married,tertiary,no,yes,no,unknown,107,1,0,unknown,0
32,married,secondary,no,yes,no,unknown,127,2,0,unknown,0
40,married,tertiary,no,yes,no,cellular,1816,1,0,unknown,0
53,married,primary,no,no,no,cellular,200,3,0,unknown,0
29,married,tertiary,no,yes,no,cellular,418,1,0,unknown,0
34,single,tertiary,no,yes,no,cellular,387,4,0,unknown,0
43,married,secondary,no,no,no,cellular,156,1,3,failure,0
56,married,tertiary,no,no,yes,cellular,121,2,0,unknown,0
55,divorced,tertiary,no,no,no,unknown,108,2,0,unknown,0
31,married,tertiary,no,yes,no,cellular,47,1,0,unknown,0
27,single,secondary,no,yes,no,cellular,16,5,4,other,0
36,married,secondary,no,yes,no,cellular,54,2,0,unknown,0
44,married,tertiary,no,yes,no,cellular,265,2,0,unknown,0
37,divorced,tertiary,no,yes,no,unknown,168,1,0,unknown,0
30,single,secondary,no,yes,no,cellular,115,3,0,unknown,0
42,single,secondary,no,no,no,cellular,31,8,0,unknown,0
30,married,tertiary,no,yes,no,telephone,279,4,0,unknown,1
62,married,secondary,no,no,no,cellular,28,2,0,unknown,0
24,married,secondary,no,yes,no,cellular,369,1,0,unknown,0
31,married,secondary,no,yes,no,unknown,247,1,0,unknown,0
66,married,tertiary,no,no,no,cellular,155,1,0,unknown,0
47,married,secondary,no,no,no,cellular,89,1,0,unknown,0
39,married,tertiary,no,yes,no,cellular,180,1,0,unknown,0
35,married,secondary,no,yes,no,cellular,854,1,0,unknown,1
