"account_length","international_plan","voice_mail_plan","number_vmail_messages","total_day_minutes","total_day_calls","total_night_minutes","total_night_calls","total_intl_minutes","total_intl_calls","total_intl_charge","number_customer_service_calls","churn"
63,"no","yes",13,214.2,61,174,68,10.3,2,2.78,0,"no"
161,"no","no",0,221.7,95,194.1,113,6.5,4,1.76,3,"no"
146,"no","no",0,205.4,101,310.5,83,10.3,2,2.78,3,"no"
140,"no","no",0,220.1,100,250.3,98,11.6,8,3.13,1,"no"
116,"no","no",0,211.3,91,184.1,134,6.3,4,1.7,2,"no"
45,"no","no",0,126.8,83,158.3,97,11,4,2.97,3,"no"
79,"no","no",0,152.2,112,96.4,87,5.3,3,1.43,1,"no"
54,"no","no",0,272.6,83,197.4,111,9.5,2,2.57,1,"yes"
52,"no","no",0,191.9,108,236.8,87,7.8,5,2.11,3,"no"
137,"no","no",0,242.1,118,218.6,50,14.7,2,3.97,3,"no"
117,"no","no",0,118.4,126,227,56,13.6,3,3.67,5,"yes"
95,"no","no",0,160,133,188.9,87,9.1,4,2.46,0,"no"
112,"no","no",0,81.6,94,140.8,75,8.6,18,2.32,1,"no"
86,"no","no",0,231.9,73,225.7,86,11.5,3,3.11,3,"no"
140,"yes","yes",27,188.9,124,197.7,100,11.5,5,3.11,4,"no"
108,"no","yes",35,215.9,106,195.4,107,15.5,7,4.19,0,"no"
132,"no","no",0,140.3,144,153.5,126,11.7,4,3.16,2,"no"
85,"no","no",0,127.9,107,202.2,76,12.5,5,3.38,0,"no"
97,"no","no",0,252.6,89,256.5,67,8.8,5,2.38,1,"yes"
125,"no","no",0,169.3,90,210.8,106,11.6,6,3.13,2,"no"
30,"no","no",0,195.2,100,298.3,115,11.5,4,3.11,1,"no"
94,"no","no",0,181.3,135,180.6,103,6.7,2,1.81,0,"no"
149,"no","no",0,166.6,61,208.3,131,8.2,6,2.21,7,"no"
100,"no","yes",25,215.9,90,180.2,157,11.6,4,3.13,1,"no"
141,"no","no",0,185.1,126,152.2,106,9.1,7,2.46,0,"no"
137,"yes","no",0,237.3,103,263.4,81,14.2,4,3.83,0,"yes"
109,"yes","no",0,268.4,85,297.9,84,9.7,8,2.62,2,"yes"
22,"no","yes",29,151.2,147,296.1,98,11.1,2,3,2,"no"
169,"no","no",0,276.1,120,261.9,116,11.9,5,3.21,1,"no"
92,"no","no",0,114.6,94,209.7,97,8.3,5,2.24,2,"no"
90,"yes","no",0,148.2,96,134.2,97,9.2,1,2.48,4,"yes"
124,"no","no",0,247.2,84,170.3,73,6.1,6,1.65,1,"no"
175,"no","no",0,132,95,313.4,108,8.7,10,2.35,1,"no"
85,"no","yes",29,144.6,97,165.4,148,10.9,3,2.94,1,"no"
140,"no","no",0,265,100,247.7,94,10.7,3,2.89,1,"no"
152,"no","yes",20,239.1,105,268.2,130,13.3,3,3.59,5,"no"
90,"no","no",0,200.9,92,249,98,8.9,7,2.4,1,"no"
3,"no","yes",27,67.4,116,281.1,93,11.4,2,3.08,2,"no"
120,"no","yes",40,222.2,80,164,65,12.1,3,3.27,1,"no"
124,"no","no",0,184.8,74,158.2,95,10.5,6,2.84,1,"no"
138,"yes","no",0,268.4,81,193.5,96,11.6,4,3.13,1,"no"
114,"no","yes",25,129,77,177.1,110,11.6,5,3.13,1,"no"
61,"no","no",0,88.1,60,169,87,13.3,4,3.59,2,"no"
85,"yes","no",0,116.2,86,204.2,109,10.1,3,2.73,3,"no"
153,"no","no",0,185.3,127,206.1,124,15.1,3,4.08,1,"no"
114,"no","no",0,204.4,91,235,64,11.5,3,3.11,2,"no"
155,"no","no",0,181.4,111,168.5,122,11.3,3,3.05,3,"no"
72,"no","yes",39,92.8,98,167.1,83,5.8,7,1.57,1,"no"
19,"no","no",0,186.1,98,214,127,14.6,7,3.94,2,"no"
105,"no","no",0,281.3,124,202.8,109,8.7,3,2.35,0,"yes"
97,"no","no",0,225.1,90,233.8,103,8.8,4,2.38,0,"yes"
80,"no","no",0,127.8,67,197.3,63,15.9,2,4.29,2,"no"
120,"no","no",0,178.4,97,120.5,93,9.3,9,2.51,1,"no"
98,"no","no",0,206.5,92,232.8,115,12.4,5,3.35,5,"no"
90,"no","no",0,152.3,91,294.3,73,9,3,2.43,2,"no"
63,"no","yes",32,218.9,124,260.3,120,12.9,3,3.48,1,"no"
190,"no","no",0,142.9,96,113.3,117,6.6,4,1.78,0,"no"
38,"no","yes",38,175.6,127,199.5,109,12.3,2,3.32,2,"no"
13,"no","no",0,193.2,89,186.5,104,9.7,2,2.62,4,"no"
90,"no","no",0,113.2,108,271.8,124,14.1,4,3.81,3,"no"
62,"no","no",0,128.7,111,193.6,97,10.3,5,2.78,1,"no"
95,"yes","no",0,228.9,134,208,120,10.1,2,2.73,4,"yes"
67,"no","no",0,152.5,131,185.4,104,4.9,3,1.32,2,"no"
106,"no","no",0,147.7,105,267.2,95,11,3,2.97,1,"no"
135,"no","no",0,173.4,107,64.2,94,13.7,6,3.7,1,"no"
131,"no","yes",23,170.8,145,294.5,100,12.7,1,3.43,1,"no"
102,"no","yes",25,137.4,100,188.2,93,10.2,6,2.75,2,"no"
120,"no","no",0,94.3,97,176.5,149,9.6,4,2.59,1,"no"
46,"no","no",0,196.7,85,216.6,112,11.2,5,3.02,3,"no"
224,"yes","no",0,171.5,99,212.4,102,5,2,1.35,1,"yes"
98,"no","yes",36,168,81,172.7,120,8,2,2.16,6,"yes"
165,"yes","no",0,81.4,110,219.7,107,12.2,3,3.29,1,"no"
98,"no","no",0,92.3,128,211.9,110,10.8,16,2.92,3,"no"
139,"no","no",0,134.4,106,193.6,125,10.2,2,2.75,5,"yes"
59,"no","yes",45,71.2,113,139.3,129,14,12,3.78,1,"no"
173,"no","yes",20,60.2,100,230.1,131,13.3,4,3.59,1,"no"
105,"no","no",0,226.9,106,203.9,107,11.6,2,3.13,0,"yes"
105,"no","no",0,167.7,93,169.7,121,6.9,5,1.86,3,"no"
117,"no","yes",20,205.7,98,159.4,147,8.7,3,2.35,2,"no"
86,"no","yes",23,247.6,65,150,138,7.3,5,1.97,3,"no"
142,"yes","no",0,160.6,101,221.7,100,8.8,2,2.38,1,"yes"
57,"no","no",0,154.2,78,253.5,97,10.1,9,2.73,1,"no"
60,"no","no",0,194.2,107,89.3,83,11.2,2,3.02,2,"no"
104,"no","no",0,109.1,141,216.6,100,10,4,2.7,3,"no"
106,"no","no",0,168.4,85,162.5,83,4.6,4,1.24,3,"no"
93,"no","no",0,146.3,85,233,82,11.5,3,3.11,0,"no"
131,"no","no",0,136.8,84,235.2,151,5,3,1.35,2,"no"
129,"no","no",0,198.4,91,111.4,101,9.2,2,2.48,2,"no"
100,"no","no",0,115.9,87,170.2,77,7.1,4,1.92,1,"no"
120,"no","yes",33,299.5,83,146.7,88,11.6,5,3.13,0,"no"
130,"no","no",0,140.9,68,123.6,96,13.6,4,3.67,3,"no"
114,"no","yes",34,114.5,64,288.8,68,10.4,16,2.81,0,"no"
93,"no","no",0,271.1,101,145.4,103,8.4,6,2.27,1,"yes"
127,"yes","no",0,324.3,107,207.6,90,12.8,7,3.46,1,"yes"
121,"no","no",0,150.7,105,169,116,9.2,15,2.48,1,"no"
149,"no","no",0,152.1,116,142.8,98,7.6,3,2.05,0,"no"
107,"no","no",0,222.3,101,249.4,117,12.1,4,3.27,1,"yes"
44,"yes","no",0,62.3,92,138.7,108,10.8,3,2.92,1,"no"
50,"no","yes",31,302.7,93,193.9,103,13.6,14,3.67,3,"no"
127,"yes","no",0,247.5,99,232,72,10.6,3,2.86,2,"no"
92,"yes","no",0,255.8,125,181.2,101,11.7,3,3.16,0,"no"
159,"no","no",0,169.8,114,193.7,82,11.6,4,3.13,1,"no"
154,"no","yes",35,64.9,76,151.6,75,14.6,1,3.94,1,"no"
96,"no","no",0,149.2,125,290.5,102,9.4,3,2.54,4,"no"
44,"no","no",0,288.1,112,192.4,90,10.2,4,2.75,3,"yes"
113,"no","no",0,140.8,107,215.4,136,9.1,4,2.46,3,"no"
163,"no","no",0,247.7,77,167.3,82,9.6,7,2.59,0,"yes"
135,"no","no",0,239.9,91,217.2,118,5.9,3,1.59,2,"no"
88,"no","no",0,65.4,97,236,113,13.8,1,3.73,2,"no"
75,"yes","no",0,211.3,61,175.9,63,9.7,4,2.62,4,"yes"
121,"no","yes",28,110,94,237.3,87,6.4,3,1.73,2,"no"
148,"no","yes",38,209.2,110,109.6,105,16.5,4,4.46,2,"no"
148,"yes","no",0,148.2,138,197.4,62,8.6,3,2.32,2,"no"
65,"no","no",0,195.4,110,178.5,105,8.9,4,2.4,0,"no"
99,"no","no",0,159.7,83,255.7,114,8.4,3,2.27,1,"no"
123,"no","no",0,163.1,119,168.2,77,9,10,2.43,1,"no"
123,"no","no",0,225.6,102,186.7,128,6.7,2,1.81,1,"no"
73,"no","no",0,241.7,115,169.8,122,11.1,2,3,2,"no"
76,"no","no",0,212.5,124,128,94,5.2,9,1.4,3,"no"
185,"no","no",0,89.4,77,162.9,93,10.4,2,2.81,3,"no"
58,"no","no",0,177.4,107,141.9,123,15,9,4.05,3,"no"
55,"no","yes",20,207.7,91,216.5,110,7.3,1,1.97,1,"no"
101,"no","no",0,190.7,72,203.8,111,8.8,8,2.38,1,"no"
49,"no","no",0,119.4,69,214.4,153,12.4,7,3.35,2,"no"
108,"no","no",0,169.6,99,206.3,78,9.3,4,2.51,0,"no"
129,"no","no",0,207,91,245.1,112,13.4,5,3.62,3,"no"
52,"no","no",0,219,100,151.8,129,11.9,8,3.21,3,"no"
84,"no","yes",41,153.9,102,217.7,101,12.8,5,3.46,1,"no"
131,"no","no",0,187.9,110,202.6,125,10.2,11,2.75,2,"no"
70,"no","no",0,101.9,98,167.5,126,15,6,4.05,1,"no"
152,"no","no",0,140.5,92,227,89,9.5,5,2.57,2,"no"
67,"no","yes",20,230.6,40,162.2,115,9.4,2,2.54,1,"no"
61,"no","no",0,267.1,104,230.6,106,17.3,4,4.67,1,"yes"
121,"no","yes",34,245,95,112.4,125,7.5,8,2.03,0,"no"
122,"no","no",0,157.1,134,197.2,59,8.5,5,2.3,4,"yes"
106,"no","yes",25,169.4,105,159.4,114,13.9,5,3.75,4,"no"
92,"no","no",0,197.2,113,192,76,11,5,2.97,2,"no"
131,"no","yes",39,69.1,122,104.8,94,9.1,4,2.46,0,"no"
32,"no","no",0,157.9,88,132.5,102,12.8,3,3.46,1,"no"
125,"no","no",0,175.9,98,278.2,110,10.6,5,2.86,0,"no"
46,"no","no",0,139.4,81,173.1,77,13.6,6,3.67,1,"no"
85,"no","no",0,126.1,112,184.4,95,9.8,4,2.65,1,"no"
84,"no","no",0,169.5,96,98.2,70,10.6,7,2.86,0,"no"
74,"no","no",0,143.7,97,98.8,100,11.8,5,3.19,1,"no"
82,"no","no",0,266.9,83,251.7,99,11,6,2.97,3,"yes"
90,"no","yes",31,118.5,92,186.2,96,9,6,2.43,1,"no"
110,"no","no",0,196.1,103,135.9,71,12.9,1,3.48,3,"no"
147,"no","no",0,134.6,91,201.1,114,8.9,3,2.4,0,"no"
93,"no","yes",22,306.2,123,240.3,107,11.7,2,3.16,0,"no"
43,"yes","no",0,160.5,92,111.8,95,13.8,5,3.73,1,"yes"
103,"no","no",0,174.7,151,168.2,109,15.8,3,4.27,6,"yes"
108,"yes","no",0,275.9,84,211.4,108,6.7,4,1.81,2,"yes"
99,"no","no",0,200,66,233.7,82,11.4,2,3.08,3,"no"
109,"no","no",0,162.6,138,209.7,118,11.5,4,3.11,0,"no"
88,"no","no",0,113.7,67,141.5,142,10.8,3,2.92,1,"no"
86,"yes","no",0,162.4,131,128.9,118,11.4,2,3.08,2,"yes"
62,"no","no",0,119.3,94,156.7,78,12.1,6,3.27,5,"yes"
125,"no","no",0,240.7,82,187.1,74,10.1,3,2.73,0,"yes"
73,"no","no",0,286.4,109,214.2,152,10.7,14,2.89,1,"yes"
107,"no","yes",32,134.2,101,167.6,138,8.2,5,2.21,1,"no"
135,"no","no",0,247.2,61,169.8,100,6.6,1,1.78,0,"no"
71,"no","yes",24,139.8,58,252.8,113,11.1,6,3,1,"no"
163,"no","yes",39,268.1,104,359.9,118,11.4,4,3.08,0,"no"
93,"no","no",0,141.7,95,227.1,71,10.2,3,2.75,0,"no"
110,"no","no",0,148.5,115,193.6,112,12.4,3,3.35,1,"no"
126,"no","no",0,228.2,68,168.9,72,10.2,6,2.75,1,"no"
106,"no","no",0,169.4,107,202.2,79,10.7,4,2.89,1,"no"
87,"no","no",0,115.4,90,245.7,69,13.1,5,3.54,2,"no"
123,"no","yes",27,218.7,79,173.8,116,15,1,4.05,0,"no"
96,"no","yes",21,247.6,95,158.6,72,10.8,6,2.92,2,"no"
102,"no","yes",29,214.7,86,280.2,110,14.3,2,3.86,0,"no"
105,"no","no",0,213.3,99,227.9,98,10.8,5,2.92,1,"no"
134,"no","no",0,183.8,111,160.7,105,6.1,2,1.65,1,"no"
86,"no","yes",34,129.4,102,154.8,100,9.3,16,2.51,0,"no"
110,"no","yes",37,227.9,80,188.1,110,5.1,6,1.38,0,"no"
65,"no","no",0,143.6,98,200.2,104,9.3,2,2.51,3,"yes"
103,"no","no",0,245.8,116,190.9,73,9.9,7,2.67,1,"no"
150,"no","no",0,189.3,77,238.7,117,9.2,5,2.48,4,"no"
100,"no","no",0,264.5,117,262.7,111,7.5,4,2.03,2,"yes"
138,"no","no",0,54.8,123,173.6,119,11.5,1,3.11,1,"no"
61,"no","no",0,260,123,234.7,70,9,3,2.43,1,"yes"
148,"no","yes",25,230.7,102,215.8,90,13.5,2,3.65,3,"no"
72,"no","no",0,207.8,92,184.8,124,13.1,4,3.54,0,"no"
95,"no","no",0,157.9,103,230,117,14,2,3.78,0,"no"
25,"no","no",0,199.2,80,82.3,77,9.6,4,2.59,2,"no"
174,"no","no",0,72.2,80,130.1,121,11,5,2.97,2,"no"
72,"no","no",0,190.7,111,278.1,95,4.4,3,1.19,1,"no"
98,"no","no",0,211.9,65,233,81,9.9,3,2.67,2,"no"
149,"no","no",0,237.6,79,207.4,111,9.1,9,2.46,0,"no"
21,"no","no",0,244.7,81,281.5,87,6.6,1,1.78,1,"no"
125,"no","no",0,137.1,94,238.4,114,8.6,4,2.32,1,"no"
51,"no","no",0,259.9,114,77.2,112,15.3,1,4.13,1,"no"
95,"no","no",0,269,120,179.3,61,7.3,4,1.97,2,"yes"
83,"no","yes",37,133.1,117,218.1,92,10.9,4,2.94,3,"no"
79,"no","yes",12,62.4,119,193.4,116,7.8,2,2.11,0,"no"
24,"yes","no",0,230.5,126,159.1,152,10.6,3,2.86,1,"no"
91,"no","no",0,133.7,75,280.5,89,5.9,2,1.59,0,"no"
80,"no","no",0,118.1,90,225.1,86,8.2,6,2.21,1,"no"
63,"no","no",0,207.6,96,162.6,131,13.3,2,3.59,1,"no"
149,"no","no",0,117.2,99,221.7,141,9,7,2.43,1,"no"
89,"no","no",0,208.4,112,264.4,101,16.8,1,4.54,0,"yes"
139,"no","no",0,181.6,119,149.8,64,8.3,6,2.24,4,"no"
112,"no","no",0,158.1,107,200.3,126,8.3,7,2.24,1,"no"
64,"no","no",0,206.2,76,251.6,96,13.6,2,3.67,1,"no"
91,"no","no",0,189.3,100,89.7,89,9.9,3,2.67,3,"no"
86,"no","no",0,83.8,121,158.6,108,6.7,8,1.81,1,"no"
174,"no","yes",33,167.8,91,130,132,14.5,4,3.92,4,"yes"
128,"no","no",0,247.3,91,143.2,112,14.7,2,3.97,3,"no"
109,"no","no",0,134.3,99,297.7,91,7.6,2,2.05,3,"no"
73,"no","no",0,234.7,102,253.4,71,8.4,8,2.27,2,"no"
120,"no","yes",26,239.4,94,238,132,7.7,3,2.08,0,"no"
70,"no","yes",31,125.9,101,252.7,75,10.3,4,2.78,1,"no"
107,"no","no",0,220.1,103,272.6,147,7.4,5,2,2,"no"
161,"no","no",0,72.8,120,222.5,91,11.8,2,3.19,2,"no"
44,"no","no",0,202.6,89,268.1,151,8.3,3,2.24,0,"no"
123,"no","yes",33,146.6,87,220.4,99,2.9,7,0.78,0,"no"
129,"no","yes",23,210.7,119,248.2,92,7.9,6,2.13,2,"no"
157,"no","no",0,240.2,67,249,72,10.2,6,2.75,2,"no"
101,"no","no",0,124.8,66,193.2,115,13.4,4,3.62,0,"no"
133,"no","no",0,227.4,90,114.3,99,4.7,7,1.27,0,"no"
166,"no","no",0,199.6,93,196.8,110,7.2,5,1.94,3,"no"
80,"no","no",0,195.6,111,182,89,10.8,1,2.92,1,"no"
83,"no","no",0,208.9,71,247.9,108,13,5,3.51,1,"no"
120,"no","no",0,198,101,241.2,105,8.3,10,2.24,4,"no"
181,"no","no",0,229.9,130,262.4,110,14.2,4,3.83,2,"no"
123,"no","yes",41,141.3,127,218.8,114,8.1,3,2.19,3,"no"
63,"no","yes",49,214.9,86,170.8,139,8.2,5,2.21,0,"no"
7,"no","no",0,206.7,87,158.5,77,11,5,2.97,3,"no"
94,"no","yes",31,209.3,90,190.1,66,7.9,5,2.13,0,"no"
106,"yes","no",0,196.7,100,173.8,83,7.8,1,2.11,4,"yes"
116,"no","no",0,133.8,88,185.2,106,12.4,4,3.35,2,"no"
122,"no","no",0,180,88,233.7,120,11.5,6,3.11,2,"no"
130,"no","no",0,182.1,136,355.1,135,12,7,3.24,2,"no"
133,"no","no",0,173.1,126,231,103,10.8,1,2.92,1,"no"
115,"yes","no",0,180,119,217.1,70,12.4,3,3.35,1,"no"
142,"no","yes",30,154,75,270,83,10.8,5,2.92,1,"no"
70,"no","no",0,104.7,112,169.4,110,15.8,7,4.27,3,"no"
52,"no","yes",32,130.1,68,289.4,87,13.5,5,3.65,2,"no"
162,"no","no",0,177.1,131,153.6,88,6.5,6,1.76,3,"no"
82,"no","no",0,207.2,114,192.8,79,9.3,4,2.51,7,"no"
59,"no","no",0,182.5,104,229.9,100,11.3,8,3.05,4,"no"
66,"no","yes",16,174.7,92,305.4,98,8.9,2,2.4,1,"no"
94,"no","no",0,206.1,49,256.7,74,13,1,3.51,1,"no"
110,"no","yes",30,144.1,87,174.7,90,12.4,4,3.35,2,"no"
87,"no","no",0,184.5,81,183.4,96,13.7,3,3.7,3,"no"
122,"no","yes",23,134.2,85,122.4,96,8.5,2,2.3,2,"no"
146,"yes","no",0,133,65,214.3,128,11.2,3,3.02,1,"no"
129,"no","yes",36,192.8,103,216.5,118,16.4,5,4.43,1,"no"
152,"no","no",0,228.1,93,197.3,107,9,2,2.43,1,"no"
75,"no","no",0,224.7,116,212.2,98,11.3,11,3.05,3,"no"
52,"yes","no",0,144.5,60,194.3,117,12.4,3,3.35,1,"no"
64,"no","no",0,219.6,126,154.5,65,9.7,5,2.62,1,"no"
130,"no","no",0,159.9,70,227.9,95,9,1,2.43,1,"no"
66,"no","no",0,34,133,129.6,120,11.5,3,3.11,0,"no"
98,"no","no",0,162.8,65,219.5,104,6,3,1.62,2,"no"
120,"no","no",0,212.1,131,167.2,96,5.3,5,1.43,1,"yes"
118,"no","no",0,178.4,81,251.4,109,10.8,2,2.92,1,"no"
87,"no","no",0,146.3,108,167.5,66,5.3,9,1.43,1,"no"
90,"no","no",0,198.5,124,243.3,80,8,7,2.16,2,"no"
57,"no","no",0,217.1,115,173.7,117,12.6,6,3.4,2,"no"
80,"no","yes",31,166.4,92,150.7,84,10.7,4,2.89,4,"no"
82,"no","no",0,143.9,61,109.6,94,11.1,2,3,1,"no"
103,"no","yes",31,185.4,105,147.1,110,14.5,4,3.92,2,"no"
131,"no","no",0,234,117,258.8,105,9.8,3,2.65,1,"no"
98,"no","no",0,167,60,262.5,100,8.9,2,2.4,1,"no"
180,"no","no",0,253.9,69,174.3,83,0.4,7,0.11,1,"no"
79,"yes","no",0,300.4,113,173.4,121,11.9,3,3.21,2,"yes"
65,"no","no",0,144.3,109,155.3,69,11.8,15,3.19,3,"no"
141,"no","yes",28,308,123,152.9,103,7.4,3,2,1,"no"
3,"no","no",0,139,99,286.2,87,6.1,3,1.65,4,"no"
19,"no","no",0,259.4,116,175.3,130,9.5,3,2.57,1,"yes"
57,"no","no",0,202,100,231.8,119,3.4,4,0.92,1,"no"
106,"no","no",0,182.8,96,219.5,113,7.7,2,2.08,2,"no"
161,"no","no",0,322.3,100,241.5,104,7.8,5,2.11,2,"yes"
62,"no","no",0,116.5,77,180.6,72,16.1,2,4.35,3,"no"
68,"no","no",0,172.7,95,174.3,99,11.7,1,3.16,2,"no"
75,"no","yes",41,130.9,115,171.7,68,12.4,4,3.35,1,"no"
93,"no","no",0,217.2,92,157.9,101,11.4,10,3.08,1,"no"
83,"no","no",0,188.3,70,213.7,79,10.3,6,2.78,0,"no"
101,"no","no",0,176.5,105,210.2,150,7.7,5,2.08,0,"no"
119,"no","no",0,287.1,115,216.8,86,13.9,1,3.75,2,"yes"
148,"no","yes",36,77.6,141,255.7,115,10.9,2,2.94,1,"no"
109,"no","no",0,150.6,106,173.2,109,9.5,5,2.57,1,"no"
77,"yes","no",0,132.9,86,196.3,102,7.8,3,2.11,0,"no"
115,"no","no",0,143.6,135,46.7,84,12.7,3,3.43,0,"no"
67,"no","yes",35,245.4,89,274,136,7.5,6,2.03,1,"no"
99,"no","no",0,254.4,120,264.4,94,6,5,1.62,1,"no"
178,"yes","no",0,124.5,134,268.2,113,11.4,2,3.08,2,"yes"
116,"no","yes",27,204.7,118,212.9,67,7,2,1.89,2,"no"
149,"no","no",0,187.6,83,264.2,79,8.8,1,2.38,1,"no"
120,"no","no",0,158,110,154.9,132,10,5,2.7,1,"no"
74,"no","no",0,157.1,95,280.4,77,7.6,3,2.05,2,"no"
78,"no","no",0,109.5,105,247.6,113,4.9,9,1.32,1,"no"
94,"no","no",0,177.1,112,146.7,108,5.9,4,1.59,1,"no"
92,"no","no",0,184.7,60,239.5,120,12.3,6,3.32,2,"yes"
132,"no","no",0,197.8,66,177.3,94,10.9,3,2.94,4,"yes"
106,"no","no",0,220.7,120,121.6,113,8.7,5,2.35,1,"no"
120,"no","yes",31,211,117,184.5,99,14,8,3.78,1,"no"
116,"no","no",0,199.7,76,220.1,108,13.7,6,3.7,1,"no"
37,"no","no",0,134.9,98,236.2,113,14.7,2,3.97,3,"no"
74,"no","no",0,174.1,96,257.6,123,8.3,5,2.24,2,"yes"
25,"no","no",0,119.3,87,268.9,86,10.5,4,2.84,3,"no"
136,"yes","yes",33,203.9,106,101.7,107,10.5,6,2.84,3,"no"
98,"yes","yes",23,245.5,54,184,90,10.8,7,2.92,1,"no"
98,"no","no",0,0,0,167.1,88,6.8,1,1.84,4,"yes"
200,"yes","yes",29,92.2,95,119.1,99,5.7,1,1.54,1,"yes"
98,"no","no",0,161,117,227.7,113,12.1,4,3.27,4,"no"
130,"no","no",0,211.4,91,207.3,109,11.6,3,3.13,1,"no"
73,"no","no",0,224.4,90,192.8,74,13,2,3.51,1,"no"
87,"no","no",0,210.7,46,170.4,79,13.2,3,3.56,1,"no"
175,"no","no",0,185,104,85.4,105,14.6,2,3.94,1,"no"
93,"no","no",0,179.3,93,225.2,131,11.5,6,3.11,3,"no"
134,"no","no",0,177.1,120,183.8,93,12.7,5,3.43,3,"no"
1,"no","no",0,241.5,114,201.6,93,14.1,3,3.81,3,"no"
144,"no","no",0,278.5,95,120,90,11.6,5,3.13,1,"yes"
158,"no","no",0,98.2,87,246,99,13,5,3.51,2,"no"
68,"no","yes",22,82.5,97,180,114,4.8,4,1.3,3,"no"
115,"no","no",0,286.4,125,191.4,141,6.9,6,1.86,1,"yes"
111,"no","no",0,176.9,128,213.7,84,10.5,2,2.84,4,"yes"
68,"no","no",0,131.6,89,256.3,107,10.2,5,2.75,3,"no"
170,"no","yes",22,173.6,66,156.5,93,5.2,3,1.4,1,"no"
51,"no","no",0,214.8,94,283.4,66,10.2,5,2.75,0,"no"
138,"no","yes",33,214.9,91,262.7,64,8.1,2,2.19,0,"no"
160,"no","no",0,216.8,77,228.6,117,5.6,2,1.51,1,"no"
145,"no","no",0,219,98,166.3,132,6.8,3,1.84,2,"no"
65,"yes","no",0,54.8,74,214.4,91,13.4,5,3.62,1,"yes"
124,"no","no",0,151,98,152.8,81,9.2,2,2.48,2,"no"
136,"no","yes",16,90.4,105,227.1,115,13.1,4,3.54,0,"no"
167,"no","no",0,94.9,114,181,71,10.8,6,2.92,0,"no"
164,"yes","yes",28,156.1,98,190,69,11.4,4,3.08,0,"no"
151,"no","no",0,194.8,106,224.6,82,5.5,3,1.49,0,"no"
110,"no","yes",38,236.3,102,183.5,82,9.7,6,2.62,1,"no"
124,"no","no",0,157.5,70,193.4,98,9.6,4,2.59,3,"no"
97,"no","yes",24,176.1,109,269.1,94,12.1,9,3.27,0,"no"
110,"no","no",0,148.4,95,206,106,6.9,6,1.86,0,"no"
172,"no","no",0,290.5,123,159.3,96,11.3,5,3.05,2,"yes"
90,"no","no",0,140.8,109,267.4,112,14.1,1,3.81,0,"no"
73,"no","no",0,137.1,102,191.4,120,11.1,4,3,1,"no"
87,"no","no",0,261,83,284.4,119,16.3,1,4.4,4,"no"
36,"no","no",0,140.4,117,251.3,79,8.7,4,2.35,2,"no"
97,"yes","no",0,236.9,107,241,120,7.3,2,1.97,0,"yes"
